name,lon,lat,geometry
"Gare de Youssoufia, RN11, Youssoufia, Youssoufia ⵢⵓⵙⴼⵉⵢⴰ اليوسفية, Pachalik de Youssoufia باشوية اليوسفية, Province de Youssoufia إقليم اليوسفية, Marrakech-Safi ⵎⵕⵕⴰⴽⵛ-ⴰⵙⴼⵉ مراكش-أسفي, 46300, Maroc / ⵍⵎⵖⵔⵉⴱ / المغرب",-8.53456296286046,32.247460450000005,POINT (-8.53456296286046 32.247460450000005)
"Gare routière Theniet El Had, RN 14, Theniet El Had ⵜⵏⵉⵢⴻⵜ ⵍⵃⴻⴷ ثنية الأحد, Daïra Theniet El Had, Tissemsilt, 38200, Algérie",2.024563,35.8725528,POINT (2.024563 35.8725528)
"Casabus Gare Routière Ouled Ziane, Rue 7, Hay Tissir, Mers Sultan ⵎⴰⵔⵙ ⵙⵓⵍⵟⴰⵏ مرس السلطان, Casablanca ⵜⵉⴳⵎⵉ ⵜⵓⵎⵍⵉⵍⵜ الدار البيضاء, préfecture d’arrondissements Al Fida-Mers Sultan عمالة مقاطعات الفداء مرس السلطان, Pachalik de Casablanca, Préfecture de Casablanca عمالة الدار البيضاء, Casablanca-Settat ⵜⵉⴳⵎⵉ ⵜⵓⵎⵍⵉⵍⵜ-ⵙⵟⵟⴰⵜ الدار البيضاء-سطات, 20552, Maroc / ⵍⵎⵖⵔⵉⴱ / المغرب",-7.587580355715018,33.57343805,POINT (-7.587580355715018 33.57343805)
"Police Gare Routière, Rue 7, Hay Tissir, Mers Sultan ⵎⴰⵔⵙ ⵙⵓⵍⵟⴰⵏ مرس السلطان, Casablanca ⵜⵉⴳⵎⵉ ⵜⵓⵎⵍⵉⵍⵜ الدار البيضاء, préfecture d’arrondissements Al Fida-Mers Sultan عمالة مقاطعات الفداء مرس السلطان, Pachalik de Casablanca, Préfecture de Casablanca عمالة الدار البيضاء, Casablanca-Settat ⵜⵉⴳⵎⵉ ⵜⵓⵎⵍⵉⵍⵜ-ⵙⵟⵟⴰⵜ الدار البيضاء-سطات, 20552, Maroc / ⵍⵎⵖⵔⵉⴱ / المغرب",-7.5898303,33.5746156,POINT (-7.5898303 33.5746156)
