id,full_name,url,language,license,topics,owner_type,description,stars_count,forks_count,created_at,updated_at,contributors,languages
648849579,InternLM/InternLM-techreport,https://github.com/InternLM/InternLM-techreport,,,[],Organization,,819,24,2023-06-03T01:46:45Z,2023-07-10T08:10:01Z,"[{'login': 'internlm-team', 'contributions': 16}]",{}
649105586,pen4uin/java-memshell-generator,https://github.com/pen4uin/java-memshell-generator,,,"['java-security', 'memshell', 'rce-exploit']",User,一款支持高度自定义的 Java 内存马生成工具,535,34,2023-06-03T19:49:29Z,2023-07-10T08:23:49Z,"[{'login': 'pen4uin', 'contributions': 18}]",{}
648967412,go-nunu/nunu,https://github.com/go-nunu/nunu,Go,MIT License,"['ddd', 'gin', 'go', 'golang', 'golang-cli', 'scaffold']",Organization,A CLI tool for building Go applications.,420,32,2023-06-03T11:06:18Z,2023-07-10T08:06:50Z,"[{'login': 'codingcn', 'contributions': 15}, {'login': 'elisongomes', 'contributions': 1}]","{'Go': 88.84662754473666, 'Smarty': 11.153372455263348}"
648898856,Wangt-CN/DisCo,https://github.com/Wangt-CN/DisCo,Python,Apache License 2.0,"['aigc', 'controlnet', 'human-generation']",User,DisCo: Referring Human Dance Generation in Real World,345,32,2023-06-03T06:12:35Z,2023-07-10T08:31:08Z,"[{'login': 'Wangt-CN', 'contributions': 10}, {'login': 'kevinlin311tw', 'contributions': 1}]","{'Python': 96.08037309941328, 'Cuda': 2.7058068048084234, 'Jupyter Notebook': 0.8659819331044485, 'C++': 0.27622998035262303, 'Shell': 0.0542257211772933, 'Dockerfile': 0.011596179920753926, 'Makefile': 0.005786281223186786}"
649059972,Sentdex/TermGPT,https://github.com/Sentdex/TermGPT,Jupyter Notebook,MIT License,[],User,Giving LLMs like GPT-4 the ability to plan and execute terminal commands,324,73,2023-06-03T16:39:05Z,2023-07-09T16:15:58Z,"[{'login': 'Sentdex', 'contributions': 8}, {'login': 'victor-hugo-dc', 'contributions': 3}]","{'Jupyter Notebook': 69.56827074206602, 'Python': 30.431729257933988}"
649029444,ai4ce/SSCBench,https://github.com/ai4ce/SSCBench,Python,,"['2d-to-3d', '3d-perception', '3d-scene-understanding', 'artificial-intelligence', 'autonomous-driving', 'autonomous-vehicles', 'computer-vision', 'dataset', 'machine-learning', 'occupancy-grid-map', 'semantic-scene-completion', 'semantic-scene-understanding']",Organization,SSCBench: A Large-Scale 3D Semantic Scene Completion Benchmark for Autonomous Driving,93,4,2023-06-03T14:51:33Z,2023-07-09T06:45:10Z,"[{'login': 'MoonjunGong', 'contributions': 38}, {'login': 'Gaaaavin', 'contributions': 24}, {'login': 'RoboticsYimingLi', 'contributions': 3}, {'login': 'Louis-Leee', 'contributions': 3}]","{'Python': 98.73714039302655, 'Shell': 1.2628596069734492}"
648992644,gaboolic/cloudflare-reverse-proxy,https://github.com/gaboolic/cloudflare-reverse-proxy,JavaScript,,"['chatgpt-proxy', 'cloudflare', 'cloudflare-proxy', 'cloudflare-reverse-proxy', 'github-proxy', 'google-proxy', 'openai-proxy', 'reverse-proxy']",User,cloudflare反向代理|OpenAI/ChatGPT 免翻墙代理|github免翻墙代理|github下载加速|google代理|cloudflare万能代理,81,30,2023-06-03T12:45:46Z,2023-07-09T16:05:45Z,"[{'login': 'gaboolic', 'contributions': 14}]",{'JavaScript': 100.0}
648849197,BerriAI/bettertest,https://github.com/BerriAI/bettertest,Python,,[],Organization,,70,0,2023-06-03T01:44:31Z,2023-07-07T00:24:04Z,"[{'login': 'krrishdholakia', 'contributions': 8}]",{'Python': 100.0}
649098224,codenoid/batch-image-generator,https://github.com/codenoid/batch-image-generator,Svelte,,"['designer-tool', 'image-generation', 'image-processing']",User,Generate dynamic image content based on a template image and a CSV file.,66,8,2023-06-03T19:14:55Z,2023-07-07T14:39:05Z,"[{'login': 'codenoid', 'contributions': 9}]","{'Svelte': 45.25750997211338, 'Go': 20.7667054961347, 'JavaScript': 17.93568428112535, 'CSS': 15.019944226764093, 'HTML': 1.0201560238624732}"
649042437,yusukebe/sonik,https://github.com/yusukebe/sonik,TypeScript,,[],User,[WIP] Supersonik web framework for Cloudflare Workers.,65,1,2023-06-03T15:36:28Z,2023-07-08T23:50:38Z,"[{'login': 'yusukebe', 'contributions': 145}]","{'TypeScript': 95.32098553707196, 'JavaScript': 4.679014462928029}"
