id,full_name,url,language,license,topics,owner_type,description,stars_count,forks_count,created_at,updated_at,contributors,languages
648003298,SysCV/sam-hq,https://github.com/SysCV/sam-hq,Python,Apache License 2.0,"['high-quality', 'sam', 'segment-anything', 'segmentation', 'zero-shot-segmentation']",Organization,Segment Anything in High Quality,2062,88,2023-06-01T02:04:54Z,2023-07-10T08:39:45Z,"[{'login': 'lkeab', 'contributions': 36}, {'login': 'ymq2017', 'contributions': 1}]",{'Python': 100.0}
648246346,Not-Quite-RARBG/main,https://github.com/Not-Quite-RARBG/main,JavaScript,GNU Affero General Public License v3.0,"['rarbg', 'torrent', 'torrents']",Organization,Not Quite RARBG's main website.,650,22,2023-06-01T14:25:33Z,2023-07-10T04:18:49Z,"[{'login': 'SlideMovies', 'contributions': 67}, {'login': '9pepsi', 'contributions': 22}, {'login': 'AnonymousWP', 'contributions': 11}, {'login': 'HankMooody', 'contributions': 6}, {'login': 'Keklul404', 'contributions': 3}]",{'JavaScript': 100.0}
648133004,damo-vilab/videocomposer,https://github.com/damo-vilab/videocomposer,Python,MIT License,"['diffusion-models', 'video-generation', 'video-synthesiswith']",Organization,Official repo for VideoComposer: Compositional Video Synthesiswith with Motion Controllability,474,51,2023-06-01T09:27:30Z,2023-07-10T08:45:47Z,"[{'login': 'Steven-SWZhang', 'contributions': 3}, {'login': 'alibaba-oss', 'contributions': 1}]","{'Python': 99.51632914050124, 'Shell': 0.48367085949876887}"
647984858,mit-han-lab/llm-awq,https://github.com/mit-han-lab/llm-awq,Python,MIT License,[],Organization,AWQ: Activation-aware Weight Quantization for LLM Compression and Acceleration,410,31,2023-06-01T00:42:45Z,2023-07-10T03:17:15Z,"[{'login': 'tonylins', 'contributions': 4}, {'login': 'Sakits', 'contributions': 4}, {'login': 'kentang-mit', 'contributions': 3}]","{'Python': 65.60379304728642, 'Cuda': 30.206844133987225, 'Shell': 3.474547132593785, 'C++': 0.3745996127327675, 'C': 0.3402160733998082}"
648156011,KasperskyLab/triangle_check,https://github.com/KasperskyLab/triangle_check,Python,MIT License,[],Organization,,314,22,2023-06-01T10:31:12Z,2023-07-05T17:46:40Z,"[{'login': 'bzvr', 'contributions': 16}, {'login': 'igosha-kl', 'contributions': 3}, {'login': 'KLBot', 'contributions': 2}, {'login': 'iwiwsb', 'contributions': 2}, {'login': 'ykarpeev', 'contributions': 1}]",{'Python': 100.0}
648259342,icyguider/LightsOut,https://github.com/icyguider/LightsOut,Python,GNU General Public License v3.0,[],User,Generate an obfuscated DLL that will disable AMSI & ETW,213,26,2023-06-01T14:57:44Z,2023-07-06T17:27:35Z,"[{'login': 'icyguider', 'contributions': 4}]",{'Python': 100.0}
648256863,haoosz/ViCo,https://github.com/haoosz/ViCo,Jupyter Notebook,MIT License,"['personalized-generation', 'text-to-image-diffusion']",User,"Official PyTorch codes for the paper: ""ViCo: Detail-Preserving Visual Condition for Personalized Text-to-Image Generation""",167,9,2023-06-01T14:51:36Z,2023-07-10T07:08:09Z,"[{'login': 'haoosz', 'contributions': 20}, {'login': 'eltociear', 'contributions': 1}]","{'Jupyter Notebook': 89.38464182708431, 'Python': 10.55237188946274, 'Shell': 0.06298628345294789}"
648152119,charactr-platform/vocos,https://github.com/charactr-platform/vocos,Python,MIT License,[],Organization,Vocos: Closing the gap between time-domain and Fourier-based neural vocoders for high-quality audio synthesis,159,17,2023-06-01T10:20:23Z,2023-07-10T02:24:00Z,"[{'login': 'hubertsiuzdak', 'contributions': 9}, {'login': 'roebel', 'contributions': 1}]","{'Python': 91.44945216058018, 'Jupyter Notebook': 8.550547839419815}"
648120027,graninas/functional-declarative-design-methodology,https://github.com/graninas/functional-declarative-design-methodology,,,[],User,Article: Functional Declarative Design,149,9,2023-06-01T08:52:10Z,2023-07-10T05:18:58Z,"[{'login': 'graninas', 'contributions': 37}, {'login': 'ezoerner', 'contributions': 1}]",{}
647983226,AdmTal/chat-gpt-games,https://github.com/AdmTal/chat-gpt-games,,Apache License 2.0,[],User,Prompts for playable games in ChatGPT,134,7,2023-06-01T00:35:06Z,2023-07-10T02:58:56Z,"[{'login': 'AdmTal', 'contributions': 18}, {'login': 'cfc23', 'contributions': 3}, {'login': 'farneser', 'contributions': 1}]",{}
648058607,b1-team/superman,https://github.com/b1-team/superman,Rust,MIT License,[],Organization,🤖 Kill The Protected Process 🤖,133,15,2023-06-01T05:51:02Z,2023-07-06T01:59:16Z,"[{'login': 'b1nhack', 'contributions': 16}]",{'Rust': 100.0}
