id,full_name,url,language,license,topics,owner_type,description,stars_count,forks_count,created_at,updated_at,contributors,languages
652366854,maaslalani/invoice,https://github.com/maaslalani/invoice,Go,MIT License,[],User,Command line invoice generator,964,29,2023-06-11T23:09:15Z,2023-07-10T10:26:28Z,"[{'login': 'maaslalani', 'contributions': 29}, {'login': 'dvrd', 'contributions': 2}, {'login': 'yonas', 'contributions': 2}, {'login': 'caarlos0', 'contributions': 1}, {'login': 'hopefulTex', 'contributions': 1}]",{'Go': 100.0}
652172053,SeedV/generative-ai-roadmap,https://github.com/SeedV/generative-ai-roadmap,,Creative Commons Attribution 4.0 International,[],Organization,生成式AI的应用路线图  The roadmap of generative AI: use cases and applications,466,57,2023-06-11T10:17:24Z,2023-07-10T07:53:14Z,"[{'login': 'wixette', 'contributions': 6}]",{}
652266983,hjiangsu/thunder,https://github.com/hjiangsu/thunder,Dart,MIT License,"['android', 'dart', 'flutter', 'ios', 'lemmy']",User,Thunder - An open-source cross-platform Lemmy client for iOS and Android built with Flutter,435,31,2023-06-11T16:03:16Z,2023-07-10T09:54:01Z,"[{'login': 'hjiangsu', 'contributions': 360}, {'login': 'bactaholic', 'contributions': 29}, {'login': 'MrAntonS', 'contributions': 21}, {'login': 'JulianPaulus', 'contributions': 17}, {'login': 'guigs4', 'contributions': 12}]","{'Dart': 88.75285664644875, 'C++': 4.542688364003404, 'CMake': 3.473939478624103, 'Ruby': 1.170604533495616, 'HTML': 0.6730930103859667, 'Swift': 0.5109329352260589, 'Dockerfile': 0.44143576015752695, 'C': 0.2619933187107355, 'Shell': 0.14248759438654035, 'Kotlin': 0.022981870062345217, 'Objective-C': 0.006986488498952946}"
652278230,MatthewJamesBoyle/golang-interview-prep,https://github.com/MatthewJamesBoyle/golang-interview-prep,Go,,[],User,,394,62,2023-06-11T16:41:28Z,2023-07-07T20:43:29Z,"[{'login': 'MatthewJamesBoyle', 'contributions': 2}]",{'Go': 100.0}
652277752,omniobject3d/OmniObject3D,https://github.com/omniobject3d/OmniObject3D,Python,,[],User,"[ CVPR 2023 Award Candidate ] OmniObject3D: Large-Vocabulary 3D Object Dataset for Realistic Perception, Reconstruction and Generation",279,5,2023-06-11T16:39:39Z,2023-07-10T07:40:13Z,"[{'login': 'wutong16', 'contributions': 8}, {'login': 'omniobject3d', 'contributions': 1}]","{'Python': 99.15562442680496, 'Shell': 0.8443755731950285}"
652210900,ttstormxx/jjjjjjjjjjjjjs,https://github.com/ttstormxx/jjjjjjjjjjjjjs,Python,MIT License,[],User,爬网站JS文件，自动fuzz api接口，指定api接口（针对前后端分离项目，可指定后端接口地址），回显api响应,256,17,2023-06-11T12:51:55Z,2023-07-10T07:59:14Z,"[{'login': 'ttstormxx', 'contributions': 30}]",{'Python': 100.0}
652124068,openSIL/openSIL,https://github.com/openSIL/openSIL,C,,[],Organization,,233,14,2023-06-11T06:54:24Z,2023-07-05T12:24:42Z,"[{'login': 'pbgrimes', 'contributions': 21}, {'login': 'ArthurHeymans', 'contributions': 4}, {'login': 'jgualari', 'contributions': 2}, {'login': 'heatd', 'contributions': 1}]","{'C': 83.292001338222, 'Python': 14.417175540743504, 'Assembly': 0.9752246334358046, 'Meson': 0.7737795146190849, 'Shell': 0.29422933547250785, 'Batchfile': 0.2382740773959017, 'Roff': 0.009315560111204886}"
652120217,mertdas/SharpTerminator,https://github.com/mertdas/SharpTerminator,C#,,[],User,Terminate AV/EDR Processes using kernel driver,223,43,2023-06-11T06:35:51Z,2023-07-10T08:33:33Z,"[{'login': 'mertdas', 'contributions': 24}]",{'C#': 100.0}
652065806,eugeneyan/obsidian-copilot,https://github.com/eugeneyan/obsidian-copilot,Python,Apache License 2.0,"['assistant', 'generative-ai', 'large-language-models', 'llm', 'obsidian-plugin', 'retrieval-augmented-generation']",User,🤖 A prototype assistant for writing and thinking,210,9,2023-06-11T01:17:43Z,2023-07-10T07:15:23Z,"[{'login': 'eugeneyan', 'contributions': 15}, {'login': 'lzumot', 'contributions': 2}, {'login': 'aayushmnit', 'contributions': 1}]","{'Python': 53.27655020178822, 'TypeScript': 34.11001360119512, 'Makefile': 7.155120515507591, 'JavaScript': 3.5697562933398737, 'Dockerfile': 1.2263372650449285, 'CSS': 0.36567147539521505, 'Shell': 0.2965506477290463}"
652191505,andrewgcodes/lightspeedGPT,https://github.com/andrewgcodes/lightspeedGPT,Jupyter Notebook,MIT License,[],User,"Use GPT4 and GPT3.5 on inputs of unlimited size. Uses multithreading to process multiple chunks in parallel. Useful for tasks like Named Entity Recognition, information extraction on large books, datasets, etc.",193,12,2023-06-11T11:37:44Z,2023-07-07T02:12:21Z,"[{'login': 'andrewgcodes', 'contributions': 17}]","{'Jupyter Notebook': 68.11961004874391, 'Python': 31.880389951256095}"
652317713,belladoreai/llama-tokenizer-js,https://github.com/belladoreai/llama-tokenizer-js,JavaScript,MIT License,"['javascript', 'llama', 'llm', 'tokenizer']",User,JS tokenizer for LLaMA based LLMs,178,11,2023-06-11T19:10:14Z,2023-07-07T10:15:38Z,"[{'login': 'belladoreai', 'contributions': 13}]","{'JavaScript': 45.156482861400896, 'CSS': 27.765676946004813, 'HTML': 27.077840192594294}"
