Company,Job Title,Job Type,Experience level,Company_requirement,Facilities,Salary (USD),Job Format,country,Domain
"Flagship Pioneering, Inc.",Robotics Engineer,Full Time,Senior-level,"APIs,Data management,Python,Robotics",Startup environment,69000.0,In location,United States,"ROBOTICS ENGINEER APIS,DATA MANAGEMENT,PYTHON,ROBOTICS,,"
CS GROUP,Ingénieur Data Modeler et/ou Tech Data - F/H,Full Time,Entry-level,"Drones,Engineering,R,R&D",Not specified,39000.0,In location,France,"INGÉNIEUR DATA MODELER ET/OU TECH DATA - F/H DRONES,ENGINEERING,R,R&D,,"
Iterative Health,Biomedical Data Scientist,Full Time,Senior-level,"AWS,Computer Vision,Deep Learning,Docker,Engineering,Industrial","Career development,Equity,Flex hours,Flex vacation,Health care",129000.0,Remote,United States,Data Science
Aryng,Product Analyst - Remote (Mumbai),Full Time,Mid-level,"Business Intelligence,Consulting,CX,Data Analytics,E-commerce,Economics","Competitive pay,Flex hours,Health care,Startup environment",40000.0,Remote,India,Data Analyst
Definitive Logic,Databricks Administrator,Full Time,Not specified,"AWS,Big Data,Consulting,Consulting firm,Databricks,Data management","Career development,Competitive pay,Flex hours,Flex vacation,Gear",63000.0,In location,United States,Big Data
Publicis Groupe,"Analyst, Data Engineering",Full Time,Entry-level,"AWS,Azure,Data management,Data Warehousing,Engineering,ETL","Career development,Flex hours,Flex vacation,Health care,Startup environment",52000.0,In location,United States,Data Science
Cermati.com,Lead Data Engineer- Bangalore,Full Time,Not specified,"Architecture,Big Data,BigQuery,Engineering,FinTech,Hadoop",Startup environment,96000.0,In location,India,Big Data
esure Group,Marketing Data Scientist,Full Time,Not specified,"A/B testing,APIs,Databricks,Data pipelines,Git,Machine Learning","Career development,Competitive pay,Flex hours,Flex vacation,Health care",56000.0,In location,United Kingdom,Data Science
esure Group,Insight Analyst,Full Time,Senior-level,"A/B testing,Data analysis,Power BI,Prototyping,Python,Research","Career development,Competitive pay,Flex hours,Flex vacation,Health care",62000.0,In location,United Kingdom,Data Analyst
AVIV Group,Senior Data Engineer,Full Time,Senior-level,"Agile,Architecture,Athena,AWS,Data governance,DataOps","Career development,Flex hours,Flex vacation",115000.0,In location,Germany,Data Engineer
Delta assurances,Data Analyst Junior F/H,Full Time,Entry-level,"Big Data,Excel,MySQL",Not specified,0.0,In location,France,Big Data
Etsy,Senior Applied Scientist I,Full Time,Senior-level,"Computer Science,Computer Vision,Deep Learning,E-commerce,Engineering,GCP","Career development,Competitive pay,Conferences,Equity,Salary bonus",164000.0,In location,United States,"SENIOR APPLIED SCIENTIST I COMPUTER SCIENCE,COMPUTER VISION,DEEP LEARNING,E-COMMERCE,ENGINEERING,GCP"
PA Consulting,Data Manager Consultant,Full Time,Senior-level,"Big Data,Business Intelligence,Data analysis,EDA,Excel,Machine Learning",Not specified,77000.0,In location,United Kingdom,Big Data
Scale AI,Foundation Models Lead,Full Time,Senior-level,"AWS,Computer Vision,Deep Learning,GCP,Machine Learning,ML models","Career development,Conferences,Equity,Health care",0.0,Remote,United States,Machine Learning
Divelement,Machine Learning Engineer,Full Time,Mid-level,"AWS,Big Data,Computer Science,Engineering,Feature engineering,GCP","Career development,Competitive pay",74000.0,In location,Mexico,Big Data
Alter Solutions,Consultant Big Data & Machine Learning,Full Time,Senior-level,"Azure,Big Data,CSV,Databricks,DevOps,Engineering",Not specified,0.0,In location,France,Big Data
Extreme Networks,Senior Machine Learning Scientist (8304),Full Time,Senior-level,"Classification,Computer Science,Deep Learning,Engineering,Machine Learning,ML models","Career development,Startup environment",129000.0,In location,Ireland,Machine Learning
KNOREX,Data Scientist,Full Time,Mid-level,"Data Mining,Deep Learning,ICLR,ICML,Machine Learning,ML models","Career development,Competitive pay,Conferences,Health care,Salary bonus",60000.0,In location,Not exists,Data Science
Varsity Tutors,Senior Product Manager (AI team),Full Time,Senior-level,"Agile,Computer Science,Engineering,Genetics,Research,SQL","401(k) matching,Career development,Competitive pay,Equity,Health care",62000.0,Remote,United States,Artificial Intelligence
Rec Room,Principal Applied Scientist,Full Time,Senior-level,"A/B testing,Computer Science,Databricks,Engineering,Genetics,Machine Learning","Career development,Equity,Health care,Medical leave,Unlimited paid time off",184000.0,Remote,Canada,Machine Learning
YouGov,Director of Data Science,Full Time,Executive-level,"AWS,Azure,Bayesian,Causal inference,Data Analytics,Git","Career development,Conferences,Flex hours",141000.0,In location,Australia,Data Science
PA Consulting,Data Analyst Consultant,Full Time,Senior-level,"Big Data,Business Intelligence,Data analysis,EDA,Excel,Machine Learning",Not specified,92000.0,In location,United Kingdom,Big Data
Poshmark,Data Analyst,Full Time,Senior-level,"Data analysis,Data visualization,E-commerce,EDA,Engineering,Excel","Career development,Startup environment",92000.0,In location,India,Data Analyst
People Can Fly,Senior Market Research Analyst,Full Time,Senior-level,"Consulting,Data Mining,Econometrics,Excel,KPIs,Market research","401(k) matching,Career development,Competitive pay,Fitness / gym,Flex hours",62000.0,In location,Canada,"SENIOR MARKET RESEARCH ANALYST CONSULTING,DATA MINING,ECONOMETRICS,EXCEL,KPIS,MARKET RESEARCH"
