Company,Job Title,Job Type,Experience level,Company_requirement,Facilities,Salary (USD),Job Format,country,Domain
SGS,Clinical Data Analyst,Full Time,Entry-level,"Computer Science,Data quality,Genetics,Mathematics,SAS,Statistics",Not specified,48000.0,In location,United States,Data Analyst
Ocorian,AML/CFT & Data Analyst,Full Time,Entry-level,"Agile,Data management,Finance,Security",Not specified,48000.0,In location,Mauritius,Data Analyst
Cricut,Machine Learning Engineer,Full Time,Not specified,"Agile,Architecture,AWS,Computer Science,Computer Vision,Deep Learning",Career development,90000.0,In location,Jordan,Machine Learning
Bosch Group,Application Developer & Data Analyst,Full Time,Entry-level,"Engineering,Industrial,Oracle,Power BI,R,R&D",Not specified,48000.0,In location,Italy,Data Analyst
Publicis Groupe,Data Engineer Full time (Public Sector) USA,Full Time,Mid-level,"AWS,Azure,Computer Science,Consulting,Dataflow,Data pipelines","Flex hours,Flex vacation,Parental leave,Unlimited paid time off",108000.0,In location,United States,Data Engineer
ServiceNow,Sr Staff Data Scientist - ATG,Full Time,Senior-level,"Computer Science,Deep Learning,Industrial,Machine Learning,NLP,NumPy","401(k) matching,Career development,Competitive pay,Equity,Flex hours",184000.0,In location,United States,Data Science
Natixis in Portugal,Vendor Management and Data Quality Lead,Full Time,Entry-level,"Banking,Data quality,Excel,Security",Gear,39000.0,In location,Portugal,"VENDOR MANAGEMENT AND DATA QUALITY LEAD BANKING,DATA QUALITY,EXCEL,SECURITY,,"
NielsenIQ,Intern (Business Intelligence Service Support),Internship,Entry-level,"Business Intelligence,Excel,Genetics",Not specified,0.0,In location,Thailand,Business Intelligence
Western Digital,Summer 2023 Data Engineering Intern,Internship,Entry-level,"Big Data,Computer Science,Engineering,Machine Learning,Mathematics,Matlab","Career development,Competitive pay,Equity,Flex vacation,Health care",0.0,In location,United States,Data Science
Palo Alto Networks,Principal Cloud Data Engineer (Prisma Access),Full Time,Senior-level,"Agile,APIs,AWS,Azure,Big Data,Computer Science","Career development,Medical leave,Salary bonus,Startup environment",140000.0,In location,United States,Big Data
CERN,Data Scientist (TE-CRG-GLO-2023-19-GRAP),Full Time,Entry-level,"Computer Science,Data analysis,Deep Learning,Keras,Machine Learning,PhD","Career development,Health care,Medical leave",40000.0,In location,Switzerland,Data Science
NielsenIQ,Data Analyst - Revenue Optimizer,Full Time,Not specified,"Business Analytics,Business Intelligence,Data management,Economics,Engineering,Genetics","Career development,Startup environment",80000.0,In location,Canada,Data Analyst
YouGov,Graduate Power BI Developer,Full Time,Entry-level,"Data Analytics,Excel,Finance,Market research,Power BI,Privacy",Career development,35000.0,In location,India,Data Analyst
Bosch Group,SAP Consultant - Product Data Management,Full Time,Senior-level,"Data management,Engineering,R,Spark",Flex hours,62000.0,In location,Portugal,Big Data
Bosch Group,PreMaster Programm - Data Analytics and Visualization,Full Time,Entry-level,"BigQuery,Data Analytics,LLMs,Pandas,Python",Team events,39000.0,In location,Germany,Data Analyst
ServiceNow,Staff Data Scientist - ATG,Full Time,Senior-level,"Computer Science,Deep Learning,Industrial,Machine Learning,NLP,NumPy","401(k) matching,Career development,Competitive pay,Equity,Flex hours",159000.0,In location,United States,Data Science
PlayStation Global,Machine Learning Engineer,Full Time,Senior-level,"AWS,CUDA,Docker,Git,GitHub,GitLab","Career development,Competitive pay,Health care,Salary bonus",97000.0,In location,United States,Machine Learning
Canva,Senior Data Analyst - Sales,Full Time,Senior-level,"BigQuery,Excel,Finance,Python,R,Redshift","Flex hours,Flex vacation,Home office stipend,Parental leave,Startup environment",92000.0,In location,Australia,Data Analyst
Issuu,BI Analyst,Full Time,Not specified,"Business Analytics,Business Intelligence,Data warehouse,Looker,Python,R","Competitive pay,Equity,Health care,Insurance",48000.0,In location,Portugal,Business Intelligence
DeepL,"Data Scientist | Insights (f/m/d) - GER, UK, NL, PL",Full Time,Senior-level,"Agile,Data visualization,Economics,Machine Learning,Mathematics,Metabase",Career development,129000.0,Remote,Remote Worldwide,Data Science
Printify,Senior Data Analyst (Remote within EMEA),Full Time,Senior-level,"Architecture,Data analysis,Data Analytics,Data quality,Data visualization,E-commerce","Career development,Equity,Fitness / gym,Home office stipend,Relocation support",92000.0,In location,Estonia,Data Analyst
Visa,Senior Data Engineer (Evergreen),Full Time,Senior-level,"Agile,Airflow,Clustering,Computer Science,Data governance,Data Mining","Career development,Flex hours",115000.0,In location,India,Data Engineer
Talan,Data Management Scrum Master,Full Time,Entry-level,"Agile,Azure,Big Data,Blockchain,Databricks,Data management",Not specified,39000.0,In location,Spain,Big Data
Bosch Group,Rotational Development Program - Artificial Intelligence and Machine Learning Trainee,Full Time,Entry-level,"Airflow,APIs,Architecture,Azure,Clustering,Computer Science","Career development,Team events",44000.0,In location,United States,Artificial Intelligence
EX2 Outcoding,Data Engineer Scientist,Full Time,Mid-level,"Computer Science,Data Mining,Engineering,Python,SQL,Statistics",Not specified,73000.0,Remote,Remote Worldwide,Data Engineer
CGG,Data Scientist (Elasticsearch),Full Time,Entry-level,"Agile,CI/CD,Computer Vision,Data quality,Data visualization,Deep Learning","Career development,Flex hours,Health care",40000.0,In location,United States,Data Science
RCA,Data Engineer F/H,Full Time,Entry-level,"Airflow,Architecture,AWS,Data warehouse,DevOps,ETL",Not specified,59000.0,In location,France,Data Engineer
Publicis Groupe,BI Developer,Full Time,Senior-level,"Agile,Architecture,Business Intelligence,Data analysis,Data visualization,ETL",Health care,106000.0,In location,United States,Data Analyst
Block,Data Scientist - Fraud Risk,Full Time,Senior-level,"Banking,Blockchain,Crypto,Data pipelines,Engineering,Fraud risk","Career development,Flex vacation",129000.0,In location,Mexico,Data Science
QuintoAndar,QuintoAndar - Senior Data Analyst,Full Time,Senior-level,"Clustering,Looker,Python,SQL,Tableau",Fitness / gym,92000.0,In location,Brazil,Data Analyst
Neo Cybernetica,ML Research Engineer,Full Time,Senior-level,"Cybernetics,DataRobot,Engineering,Keras,Machine Learning,Python","Career development,Flex hours,Health care,Startup environment",105000.0,In location,Remote Worldwide,Machine Learning
Western Digital,"Principal Engineer, Data Project Management",Full Time,Senior-level,"Data Analytics,Engineering,Excel,Industrial,Statistics",Startup environment,55000.0,In location,Malaysia,Data Analyst
Podium,Senior Data Engineer,Full Time,Senior-level,"APIs,Big Data,Computer Science,Data analysis,Data pipelines,Data quality",Not specified,115000.0,Remote,United States,Big Data
Netcentric,(Senior) Digital Analytics Engineer,Full Time,Senior-level,"A/B testing,Angular,APIs,Computer Science,Engineering,JavaScript","Career development,Fitness / gym,Flex hours,Flex vacation,Health care",110000.0,In location,Spain,"(SENIOR) DIGITAL ANALYTICS ENGINEER A/B TESTING,ANGULAR,APIS,COMPUTER SCIENCE,ENGINEERING,JAVASCRIPT"
Freeform,Senior Software Engineer (Data Pipeline),Full Time,Senior-level,"Big Data,CI/CD,Computer Science,Computer Vision,Data pipelines,Data Warehousing","Career development,Equity,Flex hours,Flex vacation,Health care",140000.0,In location,United States,Big Data
Opera,Senior Data Scientist,Full Time,Senior-level,"Agile,Airflow,Big Data,BigQuery,Computer Science,Data analysis","Career development,Relocation support",129000.0,In location,Poland,Data Science
Bosch Group,Data Science Lead (Hybrid),Full Time,Not specified,"A/B testing,Data visualization,Economics,Engineering,Mathematics,Power BI","Career development,Competitive pay,Health care",63000.0,In location,United States,Data Science
Tiendanube,Business Intelligence Analyst,Full Time,Senior-level,"Business Intelligence,E-commerce,Python,SQL,Tableau",Not specified,49000.0,Remote,Argentina,Business Intelligence
Ask Media Group,Lead Business Intelligence Analyst,Full Time,Senior-level,"A/B testing,Business Intelligence,Data visualization,KPIs,Looker,Mathematics",Not specified,180000.0,Remote,United States,Business Intelligence
Angi,Senior Data Scientist,Full Time,Senior-level,"Big Data,Data Mining,Machine Learning,Mathematics,ML models,PhD","401(k) matching,Career development,Competitive pay,Equity,Flex vacation",0.0,In location,India,Data Science
Visa,Sr Data Engineer,Full Time,Senior-level,"Agile,Big Data,Business Intelligence,Data Mining,Data visualization,Engineering","Career development,Flex hours,Startup environment",115000.0,In location,India,Big Data
AVIV Group,Data Modeler,Full Time,Senior-level,"Architecture,Data governance,Data management,Engineering,KPIs,Privacy","Flex hours,Flex vacation",62000.0,In location,Germany,"DATA MODELER ARCHITECTURE,DATA GOVERNANCE,DATA MANAGEMENT,ENGINEERING,KPIS,PRIVACY"
Mutt Data,Data Engineer,Full Time,Mid-level,"Airflow,Architecture,AWS,Big Data,BigQuery,CI/CD","Career development,Fitness / gym,Flex hours,Flex vacation,Gear",73000.0,In location,Argentina,Big Data
Global Atlantic Financial Group,"VP, Actuarial Modeling and Data Management",Full Time,Senior-level,"Data management,Excel,Finance,Mathematics,ML models,Privacy","401(k) matching,Career development,Competitive pay,Equity,Fertility benefits",127000.0,In location,United States,Machine Learning
REWE International Dienstleistungsgesellschaft m.b.H,Junior Data Science Engineer (m/w/x),Full Time,Entry-level,"CI/CD,Computer Science,Data pipelines,Deep Learning,Oracle,Pipelines",Not specified,0.0,In location,Austria,Data Science
Imagen Technologies,Healthcare Data Analyst,Full Time,Mid-level,"Business Intelligence,Engineering,Genetics,Git,Pandas,Python","Salary bonus,Startup environment",60000.0,Remote,United States,Data Analyst
Sunnova Energy International,Data Scientist,Full Time,Senior-level,"Agile,APIs,Architecture,AWS,Big Data,Classification",Career development,129000.0,In location,United States,Data Science
DeepL,"Data Analyst | Marketing or Sales (f/m/d) - GER, UK, NL, PL",Full Time,Senior-level,"Agile,Data analysis,Data visualization,Economics,KPIs,Mathematics","Career development,Team events",92000.0,Remote,Remote Worldwide,Data Analyst
EUROPEAN DYNAMICS,Business Intelligence Expert,Full Time,Mid-level,"Business Intelligence,Data analysis,Data Analytics,PhD,Privacy,Python",Career development,45000.0,Remote,Belgium,Data Analyst
Gemini,Data Engineer,Full Time,Senior-level,"Airflow,Architecture,AWS,Banking,Big Data,BigQuery","Career development,Competitive pay,Equity,Salary bonus",115000.0,In location,India,Big Data
OpenSea,Senior Data Analyst,Full Time,Senior-level,"Blockchain,Computer Science,Data analysis,Data governance,Data management,Data quality",Equity,135000.0,Remote,United States,Data Analyst
Weave HQ,Principle MLOps Engineer,Full Time,Senior-level,"AWS,Bigtable,Data analysis,DevOps,Distributed Systems,Engineering",Not specified,69000.0,In location,United States,Data Analyst
Monzo,Senior Data Scientist,Full Time,Senior-level,"A/B testing,Banking,Data Mining,Finance,Looker,Python","Career development,Conferences,Flex hours",129000.0,Remote,United Kingdom,Data Science
Scale AI,"Machine Learning Research Engineer, Generative AI",Full Time,Senior-level,"AWS,Deep Learning,GCP,Generative modeling,LLMs,Machine Learning","Career development,Conferences,Equity,Health care",176000.0,In location,United States,Artificial Intelligence
Channel Factory,Data Analyst - Product Innovation,Full Time,Mid-level,"APIs,AWS,Computer Science,Data analysis,Data pipelines,Excel","Cell phone stipend,Competitive pay,Fitness / gym,Health care,Insurance",65000.0,Remote,United States,Data Analyst
Confused.com,Lead Data Scientist,Full Time,Mid-level,"AWS,Azure,Big Data,Business Intelligence,Computer Science,Data management","Career development,Competitive pay,Conferences,Equity,Health care",40000.0,In location,United Kingdom,Data Science
Riverflex,Data Product Owner,Full Time,Senior-level,"Computer Science,DataOps,Engineering,Market research,Research,Testing",Not specified,62000.0,Remote,Remote Worldwide,"DATA PRODUCT OWNER COMPUTER SCIENCE,DATAOPS,ENGINEERING,MARKET RESEARCH,RESEARCH,TESTING"
Bosch Group,Bi Analyst Jr - 24170,Full Time,Entry-level,"Business Intelligence,Computer Science,Data analysis,Data governance,Data quality,Data visualization","Career development,Home office stipend",48000.0,In location,Brazil,Data Analyst
Bionic Services Ltd,HTML Developer,Full Time,Mid-level,"Agile,Finance,JavaScript,Testing",Not specified,51000.0,In location,United Kingdom,"HTML DEVELOPER AGILE,FINANCE,JAVASCRIPT,TESTING,,"
Nielsen,Business Intelligence Developer,Full Time,Senior-level,"Agile,APIs,Architecture,Business Intelligence,Computer Science,Data management","401(k) matching,Health care,Salary bonus,Wellness",67000.0,In location,United States,Business Intelligence
Etsy,"Data Scientist, Marketing Analytics",Full Time,Senior-level,"Big Data,Data governance,Data visualization,Engineering,Finance,Hadoop","Career development,Competitive pay,Equity,Salary bonus",104000.0,In location,United States,Data Science
Ocorian,Senior Manager - AML/CFT & Data Analyst,Full Time,Senior-level,"Agile,Data management,Data quality,Excel",Startup environment,92000.0,In location,Mauritius,Data Analyst
PatientPoint,Senior Data Visualization Analyst,Full Time,Senior-level,"Agile,Computer Science,Data visualization,Engineering,JavaScript,Mathematics","Career development,Competitive pay",69000.0,In location,United States,Business Intelligence
Fleetio,Senior Data Engineer (Remote),Full Time,Mid-level,"AWS,BigQuery,Business Intelligence,CI/CD,Dagster,Data pipelines","401(k) matching,Career development,Equity,Gear,Health care",73000.0,Remote,United Kingdom,Data Engineer
Databricks,Customer Data Engineer,Full Time,Senior-level,"AWS,Azure,Consulting,Data Analytics,Databricks,Data Warehousing",Not specified,115000.0,In location,India,Data Engineer
Twitch,Data Engineer- Data Platform,Full Time,Senior-level,"Architecture,AWS,Big Data,Business Intelligence,Data pipelines,Data quality","Career development,Equity,Fitness / gym,Flex hours,Flex vacation",105000.0,Remote,United States,Big Data
Roosh,Digital Marketing Lead (ZibraAI),Full Time,Mid-level,"Machine Learning,Physics","Career development,Startup environment,Team events",51000.0,In location,Ukraine,Machine Learning
Instacart,Staff Data Scientist - Marketing,Full Time,Senior-level,"Causal inference,Computer Science,Data Mining,Economics,Machine Learning,Mathematics","Career development,Competitive pay,Equity,Flex hours,Team events",166000.0,Remote,United States,Data Science
Snowflake Inc.,Senior Sales Business Intelligence Manager,Full Time,Senior-level,"Banking,Business Intelligence,Consulting,Economics,Engineering,Excel",Not specified,62000.0,In location,United Kingdom,Business Intelligence
SSENSE,"Data Analyst, Customer Experience",Full Time,Not specified,"Business Intelligence,Computer Science,CX,Data visualization,E-commerce,Engineering","Career development,Startup environment",80000.0,In location,Canada,Data Analyst
Amazon.com,Machine Learning Engineer,Full Time,Senior-level,"Architecture,AWS,Big Data,Classification,Data Mining,Data pipelines",Career development,131000.0,In location,United States,Big Data
Bosch Group,ETAS Test Lead - Autonomous Driving Solutions,Full Time,Senior-level,"Agile,Autonomous Driving,Docker,Linux,Python,Testing","Career development,Competitive pay,Flex hours,Health care,Salary bonus",62000.0,In location,United Kingdom,"ETAS TEST LEAD - AUTONOMOUS DRIVING SOLUTIONS AGILE,AUTONOMOUS DRIVING,DOCKER,LINUX,PYTHON,TESTING"
NBCUniversal,Sr. Data Engineer,Full Time,Senior-level,"Agile,Airflow,Architecture,Big Data,Computer Science,Data Analytics","Flex hours,Health care,Insurance,Medical leave",115000.0,In location,United States,Big Data
Databricks,Specialist Solutions Architect - MLOps,Full Time,Senior-level,"Architecture,Big Data,Computer Science,Databricks,Deep Learning,Engineering","Career development,Flex hours,Flex vacation,Health care,Insurance",69000.0,In location,United States,Big Data
Stripe,"Data Scientist, Terminal",Full Time,Senior-level,"Causal inference,Economics,Engineering,Finance,Machine Learning,PhD",Career development,129000.0,In location,Canada,Data Science
Metiora,Data Analyst Intern,Full Time,Entry-level,"Matplotlib,MongoDB,NumPy,Pandas,Power BI,Python",Not specified,0.0,In location,Spain,Data Analyst
Kuda Technologies Ltd,React Native Engineer - Mobile (Dubai),Full Time,Mid-level,"APIs,Finance,GitHub,JavaScript,Jira,React","Career development,Health care,Insurance",40000.0,Remote,United Arab Emirates,"REACT NATIVE ENGINEER - MOBILE (DUBAI) APIS,FINANCE,GITHUB,JAVASCRIPT,JIRA,REACT"
KPMG Australia,Artificial Intelligence Lead | KPMG Futures,Full Time,Executive-level,"Finance,Research,Testing","Career development,Flex hours,Parental leave",65000.0,In location,Australia,Artificial Intelligence
DoubleVerify,Jr. CRM Data Quality Specialist,Full Time,Entry-level,"Data governance,Data quality,Finance,Research","Career development,Equity,Salary bonus",43000.0,In location,United States,"JR. CRM DATA QUALITY SPECIALIST DATA GOVERNANCE,DATA QUALITY,FINANCE,RESEARCH,,"
Pure Integration,Senior Data Analyst,Full Time,Senior-level,"Computer Science,Consulting,Consulting firm,Data analysis,Data quality,Engineering",Insurance,92000.0,In location,United States,Data Analyst
SAP Fioneer,Data Management Consultant Banking (f/d/m) Financial Services Data Platform FSDM,Full Time,Mid-level,"Banking,Data management,MySQL,SQL","Career development,Startup environment",45000.0,Remote,Remote Worldwide,"DATA MANAGEMENT CONSULTANT BANKING (F/D/M) FINANCIAL SERVICES DATA PLATFORM FSDM BANKING,DATA MANAGEMENT,MYSQL,SQL,,"
Appen,"Director, Artificial Intelligence (AI)",Full Time,Executive-level,"AWS,Azure,Computer Science,Finance,GANs,GCP","Career development,Startup environment",81000.0,In location,Canada,Artificial Intelligence
Cyberlogic,Intermediate BI Developer,Full Time,Mid-level,"Architecture,Azure,Business Intelligence,Computer Science,Databricks,Data governance","Career development,Startup environment",35000.0,Remote,Remote Worldwide,Business Intelligence
Experian,Senior Business Intelligence Analyst,Full Time,Senior-level,"Athena,AWS,Business Intelligence,Computer Science,Data Analytics,Data quality","Flex hours,Flex vacation,Medical leave,Salary bonus,Wellness",69000.0,In location,Costa Rica,Data Analyst
Publicis Groupe,Data Analyst,Full Time,Senior-level,"Big Data,Computer Science,Data Analytics,Databricks,E-commerce,Economics","Career development,Competitive pay,Flex hours,Flex vacation,Health care",92000.0,In location,Georgia,Big Data
Peloton,Staff Machine Learning Engineer,Full Time,Senior-level,"A/B testing,Airflow,AWS,Cassandra,Computer Science,Computer Vision",Fitness / gym,62000.0,In location,United Kingdom,Machine Learning
Fleetio,Data Analyst (Remote),Full Time,Mid-level,"BigQuery,Business Intelligence,Dagster,Databricks,Data Warehousing,ELT","401(k) matching,Career development,Equity,Gear,Health care",65000.0,Remote,United Kingdom,Data Analyst
Civis Analytics,Lead Applied Data Scientist (Experience with Media Mix Modeling),Full Time,Senior-level,"Causal inference,Computer Science,Consulting,Data visualization,Economics,Engineering","401(k) matching,Career development,Competitive pay,Flex hours,Flex vacation",0.0,Remote,United States,Data Science
NBCUniversal,Data Engineer I,Full Time,Senior-level,"AWS,Big Data,Computer Science,Data pipelines,DevOps,Engineering","Career development,Flex hours",115000.0,In location,Jersey,Big Data
Experian,Cloud Database Analyst,Full Time,Senior-level,"AWS,Big Data,Computer Science,GCP,Snowflake,SQL","Flex hours,Flex vacation,Medical leave,Salary bonus,Wellness",69000.0,In location,Costa Rica,Big Data
Freeform,Senior Machine Learning Engineer,Full Time,Senior-level,"Architecture,Big Data,Cassandra,Computer Science,Data Mining,Deep Learning","Career development,Equity,Flex hours,Flex vacation,Health care",140000.0,In location,United States,Big Data
Foxintelligence,Junior Data Analyst,Full Time,Mid-level,"Classification,Consulting,Data management,Power BI,Python,R",Not specified,65000.0,In location,France,Data Analyst
Visa,Financial Data Analyst,Full Time,Senior-level,"Data Analytics,Data visualization,Excel,Finance,PhD,Power BI","Equity,Health care,Insurance,Salary bonus,Wellness",69000.0,In location,United States,Data Analyst
Publicis Groupe,Data Engineer,Full Time,Not specified,"APIs,Azure,Computer Science,Data pipelines,Engineering,ETL",Not specified,96000.0,In location,United States,Data Engineer
Sia Partners,Senior Consultant in Data science,Full Time,Entry-level,"Big Data,Consulting,Consulting firm,Econometrics,Finance,Machine Learning","Career development,Competitive pay,Salary bonus",39000.0,In location,Belgium,Data Science
GRAIL,Staff Clinical Data Manager # 3073,Full Time,Senior-level,"Biology,Computer Science,Data management,Data quality,Data visualization,GCP","401(k) matching,Flex hours,Flex vacation,Health care,Salary bonus",69000.0,In location,United States,Business Intelligence
Motorway,HR Data Analyst,Full Time,Not specified,"Data analysis,Research","Career development,Competitive pay,Equity,Fitness / gym,Health care",56000.0,In location,United Kingdom,Data Analyst
Sia Partners,Consultant in Data Science,Full Time,Entry-level,"Big Data,Consulting,Consulting firm,Econometrics,Finance,Machine Learning","Career development,Competitive pay,Salary bonus",39000.0,In location,Belgium,Data Science
Curated,Machine Learning Engineer,Full Time,Senior-level,"AWS,Azure,BERT,Chatbots,Classification,Deep Learning",Not specified,131000.0,In location,United States,Machine Learning
Shopify,"Staff Engineer, Data Platform",Full Time,Senior-level,"AWS,Azure,BigQuery,Computer Science,Dataflow,Dataproc",Not specified,62000.0,In location,United States,"STAFF ENGINEER, DATA PLATFORM AWS,AZURE,BIGQUERY,COMPUTER SCIENCE,DATAFLOW,DATAPROC"
Chainalysis,Data Engineer,Full Time,Senior-level,"Agile,Airflow,APIs,Architecture,Banking,Blockchain",Career development,115000.0,Remote,Canada,Data Engineer
Verisk,Data Engineer,Full Time,Senior-level,"APIs,Architecture,Data pipelines,Engineering,JavaScript,NoSQL",Flex hours,115000.0,In location,India,Data Engineer
Etsy,"Senior Data Scientist, Marketing Analytics",Full Time,Senior-level,"Big Data,BigQuery,Data governance,Data visualization,Engineering,Finance","Career development,Competitive pay,Equity,Salary bonus",130000.0,In location,United States,Data Science
TTEC Digital,"Director, IVA and AI Solutions - Professional Services Practice Lead",Full Time,Executive-level,"Angular,APIs,Architecture,ASR,AWS,Azure",Career development,73000.0,Remote,United States,Artificial Intelligence
Tide,Lead Data Analyst(Marketing/Growth Analytics),Full Time,Senior-level,"A/B testing,Banking,Engineering,FinTech,KPIs,Looker","Career development,Competitive pay,Equity,Flex hours,Flex vacation",92000.0,Remote,India,Data Analyst
Lucid Motors,"Data Analyst, Service Analytics",Full Time,Senior-level,"APIs,Business Analytics,Engineering,ETL,Git,Jira","401(k) matching,Competitive pay,Equity,Health care,Insurance",131000.0,In location,United States,Data Analyst
Amazon.com,"Amazon Robotics - Hardware Engineer Co-op (July-December 2023), Amazon Robotics",Full Time,Entry-level,"Agile,Computer Vision,CX,Engineering,Machine Learning,Prototyping",Career development,44000.0,In location,United States,Machine Learning
Kpler,Senior/Staff Data Engineer,Full Time,Senior-level,"Ansible,AWS,Data pipelines,DevOps,Elasticsearch,Engineering","Competitive pay,Flex vacation,Gear,Medical leave,Parental leave",115000.0,In location,Germany,Data Engineer
Devbridge,Data Engineer,Full Time,Mid-level,"Airflow,APIs,AWS,Azure,Data Analytics,Data pipelines","Competitive pay,Health care,Team events",73000.0,In location,Lithuania,Data Engineer
Similarweb,Data Product Manager,Full Time,Not specified,"Architecture,Big Data,Engineering,Machine Learning,Privacy,Python","Career development,Competitive pay,Startup environment,Team events",50000.0,In location,Israel,Big Data
Deloitte,FSA (FinTech) - Quantitative Machine Learning Specialist & Software Developer,Full Time,Senior-level,"Architecture,Banking,Computer Science,Consulting,Credit risk,Docker","Career development,Flex vacation,Startup environment",48000.0,In location,South Africa,Machine Learning
Publicis Groupe,Data Engineer Analyst,Full Time,Entry-level,"APIs,ETL,GCP,Google Cloud,Hadoop,JavaScript",Not specified,59000.0,In location,Colombia,Big Data
Freeform,Software Engineer (Data Pipeline),Full Time,Senior-level,"Big Data,CI/CD,Computer Science,Computer Vision,Data pipelines,Data Warehousing","Career development,Equity,Flex hours,Flex vacation,Health care",100000.0,In location,United States,Big Data
GumGum,Senior Data Scientist,Full Time,Senior-level,"Computer Science,Data quality,Engineering,Feature engineering,GCP,Machine Learning","Competitive pay,Flex vacation",129000.0,In location,Australia,Data Science
KoBold Metals,Associate Data Scientist,Full Time,Mid-level,"Computer Science,Data analysis,EDA,Engineering,Git,GitHub",Not specified,60000.0,In location,Zambia,Data Science
Publicis Groupe,Data Engineering Analyst,Full Time,Entry-level,"AWS,Azure,Data management,Data Warehousing,Engineering,ETL","Career development,Flex hours,Flex vacation,Health care,Startup environment",52000.0,In location,United States,Data Science
Talan,Talan Consulting  Consultant Senior/Manager  Data Strategy (H/F),Full Time,Senior-level,"Architecture,Consulting,Data governance,Data management,Data strategy,Machine Learning",Not specified,62000.0,In location,France,Machine Learning
6point6,Enterprise Data Architect - 6 month Contract,Full Time,Senior-level,"APIs,Architecture,JSON,Model design,Security,SQL","Competitive pay,Equity,Flex vacation,Health care,Salary bonus",135000.0,In location,United Kingdom,"ENTERPRISE DATA ARCHITECT - 6 MONTH CONTRACT APIS,ARCHITECTURE,JSON,MODEL DESIGN,SECURITY,SQL"
Branching Minds,Data Engineer II,Full Time,Mid-level,"Agile,Airtable,AWS,Databricks,Engineering,PostgreSQL","Career development,Equity,Flex vacation,Startup environment,Transparency",76000.0,Remote,United States,Data Engineer
Appen,Data Scientist/Machine Learning Engineer,Full Time,Senior-level,"AWS,Azure,Computer Science,Data management,Data visualization,Deep Learning","Career development,Startup environment",129000.0,In location,Canada,Data Science
Anvl,Data Engineer,Full Time,Mid-level,"Architecture,AWS,Data Analytics,Data warehouse,DynamoDB,Elasticsearch","Career development,Equity,Flex hours,Health care,Startup environment",73000.0,Remote,India,Data Engineer
Pure Integration,Data Analyst,Full Time,Senior-level,"Computer Science,Consulting,Consulting firm,Data analysis,Data quality,Engineering",Insurance,92000.0,In location,United States,Data Analyst
Podium,"Senior Data Scientist, Product",Full Time,Senior-level,"Bayesian,Business Analytics,Classification,Data analysis,Data Analytics,Data Mining",Career development,129000.0,In location,United States,Data Science
SentinelOne,"Senior Technical Support Engineer, DataSet",Full Time,Senior-level,"AWS,DevOps,Docker,EC2,Engineering,Kubernetes",Transparency,62000.0,In location,Czechia,"SENIOR TECHNICAL SUPPORT ENGINEER, DATASET AWS,DEVOPS,DOCKER,EC2,ENGINEERING,KUBERNETES"
Amazon.com,"Finance Business Intelligence , Operations Finance",Full Time,Not specified,"AWS,Big Data,Business Intelligence,Data Mining,Data quality,Data visualization",Not specified,50000.0,In location,Brazil,Big Data
Block,"Staff Machine Learning Modeler, Financial Crimes",Full Time,Senior-level,"Airflow,AWS,Banking,Blockchain,Classification,Computer Science","Career development,Equity,Health care,Insurance,Parental leave",172000.0,In location,United States,Machine Learning
ServiceNow,Machine Learning Engineer,Full Time,Senior-level,"Machine Learning,OOP,Python,Research,Testing","401(k) matching,Career development,Competitive pay,Equity,Flex hours",119000.0,In location,United States,Machine Learning
Techstars,Senior Business Intelligence Analyst,Full Time,Senior-level,"Business Intelligence,Clustering,Data analysis,Data Analytics,Data governance,Data pipelines","Career development,Startup environment,Team events",125000.0,In location,United States,Data Analyst
Riskified,Data Scientist,Full Time,Not specified,"Airflow,Big Data,Classification,Clustering,Computer Science,Databricks","Career development,Equity,Health care,Home office stipend,Insurance",92000.0,In location,Israel,Data Science
Spotify,Data Engineer - Music,Full Time,Senior-level,"Agile,Architecture,AWS,Big Data,BigQuery,Computer Science","Career development,Equity,Flex hours,Flex vacation,Health care",116000.0,In location,United States,Big Data
Syngenta Group,Data Manager,Full Time,Not specified,"Biology,Consulting,Data analysis,Data Analytics,Data management,Data quality","Career development,Insurance",77000.0,In location,India,Data Analyst
Mutt Data,Machine Learning Engineer,Full Time,Mid-level,"Airflow,Architecture,AWS,Big Data,CI/CD,Databricks","Career development,Fitness / gym,Flex hours,Flex vacation,Gear",74000.0,In location,Argentina,Big Data
PSI CRO,Salesforce Administrator/Data Specialist,Full Time,Not specified,"Computer Science,Data governance,Power BI,Research",Career development,70000.0,In location,Poland,"SALESFORCE ADMINISTRATOR/DATA SPECIALIST COMPUTER SCIENCE,DATA GOVERNANCE,POWER BI,RESEARCH,,"
SpaceX,Data Engineer (Starlink),Full Time,Senior-level,"Clustering,Computer Science,Data analysis,Data Analytics,Engineering,ETL","Career development,Equity,Health care,Insurance,Medical leave",120000.0,In location,United States,Data Engineer
Sunnova Energy International,Data Engineer,Full Time,Senior-level,"Agile,APIs,Architecture,AWS,Azure,CI/CD",Career development,115000.0,In location,United States,Data Engineer
Talan,Data Engineer confirmé BI - BIG DATA,Full Time,Senior-level,"Agile,Angular,Big Data,Blockchain,ETL,Hadoop",Not specified,115000.0,In location,France,Big Data
Databricks,"Director, Spark Technical Solutions",Full Time,Executive-level,"AWS,Azure,Big Data,Computer Science,Databricks,Elasticsearch","Career development,Startup environment",65000.0,In location,India,Big Data
